x model
475.56289299659164 4.1740798
475.5787563317733 4.1740779
475.59462019610777 4.1740759
475.6104845896126 4.1740737
475.6263495123054 4.1740713
475.642214964204 4.1740687
475.6580809453259 4.1740657
475.6739474556886 4.1740622
475.68981449531015 4.1740577
475.705682064208 4.1740514
475.72155016239975 4.1740411
475.73741878990313 4.1740223
475.7532879467357 4.1739854
475.7691576329153 4.1739103
475.78502784845944 4.1737564
475.80089859338585 4.1734438
475.8167698677121 4.1728204
475.8326416714559 4.1716048
475.8485140046349 4.1692922
475.8643868672669 4.1650071
475.8802602593693 4.1572809
475.89613418095996 4.1437377
475.9120086320565 4.1206836
475.9278836126765 4.0826272
475.94375912283783 4.0218264
475.9596351625578 3.9280671
475.97551173185434 3.7890206
475.9913888307451 3.5916503
476.0072664592477 3.3250876
476.02314461737984 2.9849623
476.0390233051592 2.578201
476.0549025226033 2.1260619
476.07078226973 1.6626478
476.0866625465569 1.2275722
476.1025433531015 0.854928
476.1184246893817 0.5638589
476.1343065554152 0.3556483
476.1501889512195 0.2179872
476.1660718768122 0.1327039
476.1819553322112 0.0823827
476.19783931743416 0.0536771
476.21372383249866 0.0377639
476.22960887742227 0.029412
476.2454944522228 0.0258335
476.26138055691797 0.0258434
476.2772671915254 0.0294452
476.2931543560627 0.0378329
476.30904205054765 0.0538084
476.3249302749978 0.0826264
476.34081902943103 0.1331473
476.35670831386483 0.2187675
476.372598128317 0.3569531
476.38848847280514 0.5658972
476.40437934734683 0.8578636
476.42027075196006 1.2314397
476.4361626866623 1.6672956
476.4520551514712 2.1311659
476.4679481464046 2.583349
476.48384167148004 2.9897656
476.49973572671524 3.3292674
476.5156303121279 3.5950702
476.5315254277357 3.7916711
476.5474210735563 3.9300255
476.5633172496075 4.0232132
476.57921395590677 4.0835721
476.5951111924721 4.1213051
476.6110089593209 4.1441331
476.6269072564709 4.1575246
476.64280608393994 4.1651528
476.65870544174567 4.1693767
476.67460532990566 4.1716524
476.6905057484377 4.1728465
476.70640669735945 4.1734576
476.7223081766886 4.1737634
476.73821018644287 4.1739138
476.75411272664 4.173987
