# spectrum acquired about 8 hr after the trigger. Magnitude ~ 12
# Ang	10^-16 erg/cm^2/s/Angstrom
          3.7366360E+03        0.0000000E+00       
          3.7366643E+03        0.0000000E+00       
          3.7366929E+03        0.0000000E+00       
          3.7367214E+03        0.0000000E+00       
          3.7367498E+03        0.0000000E+00       
          3.7367783E+03        0.0000000E+00       
          3.7368066E+03        0.0000000E+00       
          3.7368352E+03        0.0000000E+00       
          3.7368635E+03        0.0000000E+00       
          3.7368921E+03        0.0000000E+00       
          3.7369204E+03        0.0000000E+00       
          3.7369490E+03        0.0000000E+00       
          3.7369773E+03        0.0000000E+00       
          3.7370059E+03        0.0000000E+00       
          3.7370342E+03        0.0000000E+00       
          3.7370627E+03        0.0000000E+00       
          3.7370913E+03        0.0000000E+00       
          3.7371196E+03        0.0000000E+00       
          3.7371482E+03        0.0000000E+00       
          3.7371765E+03        0.0000000E+00       
          3.7372051E+03        0.0000000E+00       
          3.7372334E+03        0.0000000E+00       
          3.7372620E+03        0.0000000E+00       
          3.7372903E+03        0.0000000E+00       
          3.7373188E+03        0.0000000E+00       
          3.7373472E+03        0.0000000E+00       
          3.7373757E+03        0.0000000E+00       
          3.7374041E+03        0.0000000E+00       
          3.7374326E+03        0.0000000E+00       
          3.7374612E+03        0.0000000E+00       
          3.7374895E+03        0.0000000E+00       
          3.7375181E+03        0.0000000E+00       
          3.7375464E+03        0.0000000E+00       
          3.7375750E+03        0.0000000E+00       
          3.7376033E+03        0.0000000E+00       
          3.7376318E+03        0.0000000E+00       
          3.7376602E+03        0.0000000E+00       
          3.7376887E+03        0.0000000E+00       
          3.7377170E+03        0.0000000E+00       
          3.7377456E+03        0.0000000E+00       
          3.7377739E+03        0.0000000E+00       
          3.7378025E+03        0.0000000E+00       
          3.7378311E+03        0.0000000E+00       
          3.7378594E+03        0.0000000E+00       
          3.7378879E+03        0.0000000E+00       
          3.7379163E+03        0.0000000E+00       
          3.7379448E+03        0.0000000E+00       
          3.7379731E+03        0.0000000E+00       
          3.7380017E+03        0.0000000E+00       
          3.7380300E+03        0.0000000E+00       
          3.7380586E+03        0.0000000E+00       
          3.7380869E+03        0.0000000E+00       
          3.7381155E+03        0.0000000E+00       
          3.7381438E+03        0.0000000E+00       
          3.7381724E+03        0.0000000E+00       
          3.7382007E+03        0.0000000E+00       
          3.7382292E+03        0.0000000E+00       
          3.7382578E+03        0.0000000E+00       
          3.7382861E+03        0.0000000E+00       
          3.7383147E+03        0.0000000E+00       
          3.7383430E+03        0.0000000E+00       
          3.7383716E+03        0.0000000E+00       
