# spectrum acquired about 2 hrs after the trigger. Magnitude ~ 16/17
# Ang	10^-16 erg/cm^2/s/Angstrom
          3.0303933E+03       0.0000000E+00             
          3.0304177E+03       0.0000000E+00             
          3.0304419E+03       0.0000000E+00             
          3.0304663E+03       0.0000000E+00             
          3.0304907E+03       0.0000000E+00             
          3.0305149E+03       0.0000000E+00             
          3.0305393E+03       0.0000000E+00             
          3.0305637E+03       0.0000000E+00             
          3.0305879E+03       0.0000000E+00             
          3.0306123E+03       0.0000000E+00             
          3.0306367E+03       0.0000000E+00             
          3.0306609E+03       0.0000000E+00             
          3.0306853E+03       0.0000000E+00             
          3.0307097E+03       0.0000000E+00             
          3.0307339E+03       0.0000000E+00             
          3.0307583E+03       0.0000000E+00             
          3.0307825E+03       0.0000000E+00             
          3.0308069E+03       0.0000000E+00             
          3.0308313E+03       0.0000000E+00             
          3.0308555E+03       0.0000000E+00             
          3.0308799E+03       0.0000000E+00             
          3.0309043E+03       0.0000000E+00             
          3.0309285E+03       0.0000000E+00             
          3.0309529E+03       0.0000000E+00             
          3.0309773E+03       0.0000000E+00             
          3.0310015E+03       0.0000000E+00             
          3.0310259E+03       0.0000000E+00             
          3.0310503E+03       0.0000000E+00             
          3.0310745E+03       0.0000000E+00             
          3.0310989E+03       0.0000000E+00             
          3.0311230E+03       0.0000000E+00             
          3.0311475E+03       0.0000000E+00             
          3.0311719E+03       0.0000000E+00             
          3.0311960E+03       0.0000000E+00             
          3.0312205E+03       0.0000000E+00             
          3.0312449E+03       0.0000000E+00             
          3.0312690E+03       0.0000000E+00             
          3.0312935E+03       0.0000000E+00             
          3.0313179E+03       0.0000000E+00             
          3.0313420E+03       0.0000000E+00             
          3.0313665E+03       0.0000000E+00             
          3.0313909E+03       0.0000000E+00             
          3.0314150E+03       0.0000000E+00             
          3.0314395E+03       0.0000000E+00             
          3.0314636E+03       0.0000000E+00             
          3.0314880E+03       0.0000000E+00             
          3.0315125E+03       0.0000000E+00             
          3.0315366E+03       0.0000000E+00             
          3.0315610E+03       0.0000000E+00             
          3.0315854E+03       0.0000000E+00             
          3.0316096E+03       0.0000000E+00             
          3.0316340E+03       0.0000000E+00             
          3.0316584E+03       0.0000000E+00             
          3.0316826E+03       0.0000000E+00             
          3.0317070E+03       0.0000000E+00             
          3.0317314E+03       0.0000000E+00             
          3.0317556E+03       0.0000000E+00             
          3.0317800E+03       0.0000000E+00             
          3.0318042E+03       0.0000000E+00             
          3.0318286E+03       0.0000000E+00             
          3.0318530E+03       0.0000000E+00             
          3.0318772E+03       0.0000000E+00             
          3.0319016E+03       0.0000000E+00             
